"","ID","genre","rel","etat.civil","ethnie","clan","age","edu","an_edu","occ1","occ2","naissance","nb.enfant","demo.buya","demo.deces","demo.deces_age"
"128",129,"f","c","d","b","is",68,"p",2,"a","m","autre",0,"1980","non","null"
"129",130,"m","c","m","b","is",26,"s",12,"a","a","autre",3,"20","non","null"
"130",131,"m","c","m","b","ek",32,"s",7,"a","p","buya",6,"null","non","null"
"131",132,"f","c","ce","b","is",32,"p",4,"a","m","buya",5,"null","non","null"
"132",133,"m","c","m","b","ek",41,"s",9,"a","v","autre",9,"1972","non","null"
"133",134,"f","c","ce","b","is",27,"p",5,"v","m","buya",1,"null","non","null"
"134",135,"m","c","m","b","ek",73,"p",7,"a","autre","buya",6,"null","non","null"
"135",136,"m","c","m","b","ek",32,"s",8,"a","autre","buya",5,"null","non","null"
"136",137,"m","c","m","b","is",29,"p",1,"a","autre","autre",1,"2005","oui","3"
"137",138,"m","c","m","b","ek",40,"s",10,"a","v","buya",9,"null","oui","18"
"138",139,"m","c","m","b","is",61,"p",6,"a","autre","autre",2,"1970","non","null"
"139",140,"m","c","m","b","ek",36,"s",7,"a","autre","buya",5,"null","oui","42"
"140",141,"m","c","m","b","d",44,"s",12,"a","autre","autre",4,"2013","oui","72"
"141",142,"m","c","m","b","ek",55,"s",10,"a","autre","autre",14,"1977","oui","2"
"142",143,"m","c","m","b","ek",31,"p",5,"a","v","autre",4,"1984","non","null"
"143",144,"m","c","m","b","ek",51,"p",3,"a","a","buya",6,"2000","non","null"
"144",145,"m","c","m","b","ek",23,"s",12,"e","a","buya",1,"null","non","null"
"145",146,"f","c","m","b","autre",61,"s",7,"a","v","autre",7,"1969","oui","2"
"146",147,"f","c","m","b","ek",34,"p",5,"a","v","buya",6,"null","non","null"
"147",148,"f","c","m","b","ek",43,"p",6,"a","v","autre",5,"1979","non","null"
"148",149,"m","c","m","b","ek",33,"a",3,"a","p","buya",3,"null","oui","2"
"149",150,"m","c","m","b","ek",50,"p",6,"a","v","autre",8,"1982","non","null"
"150",151,"m","c","m","b","ek",25,"s",12,"e","a","autre",1,"1988","non","null"
"151",152,"m","c","m","b","ek",38,"p",6,"autre","a","buya",4,"2004","non","null"
"152",153,"f","c","v","b","ek",63,"p",2,"a","m","buya",7,"null","non","null"
"153",154,"m","c","m","b","ek",53,"s",7,"a","v","buya",6,"null","oui","90"
"154",155,"m","c","m","b","ek",31,"s",8,"a","p","buya",3,"2008","non","null"
"155",156,"m","c","m","b","autre",21,"s",11,"e","a","buya",1,"null","non","null"
"156",157,"m","c","m","b","ek",28,"p",3,"a","p","autre",1,"1985","non","null"
"157",158,"m","c","m","b","is",48,"s",8,"a","autre","buya",2,"2005","oui","45"
"158",159,"m","c","m","p","ek",37,"a",0,"mo","autre","autre",5,"19","oui","15"
"159",160,"m","c","m","p","ek",23,"a",0,"mo","autre","autre",0,"2006","non","null"
"160",161,"m","c","m","b","ek",47,"s",12,"a","a","autre",5,"1997","non","null"
"161",162,"f","c","d","b","ek",45,"s",6,"a","m","buya",3,"null","non","null"
"162",163,"f","c","ce","b","ek",27,"p",6,"v","m","buya",3,"null","non","null"
"163",164,"f","c","d","b","ek",29,"s",8,"a","v","buya",2,"null","non","null"
"164",165,"f","c","m","b","ek",26,"s",7,"a","v","buya",1,"null","non","null"
"165",166,"m","c","m","b","ek",28,"p",3,"a","v","buya",1,"null","non","null"
"166",167,"m","c","m","p","ek",43,"p",2,"a","ef","autre",5,"1988","non","null"
"167",168,"m","c","m","b","d",21,"s",12,"e","a","buya",2,"null","non","null"
"168",169,"m","c","m","b","ek",65,"s",7,"a","a","buya",6,"null","oui","19"
"169",170,"m","c","m","b","ek",28,"s",11,"a","p","buya",2,"2004","non","null"
"170",171,"f","c","v","b","ek",61,"p",2,"a","m","autre",6,"1975","non","null"
"171",172,"f","c","ce","b","ek",20,"s",8,"e","a","buya",1,"null","non","null"
"172",173,"m","c","m","b","ek",71,"s",10,"a","autre","autre",0,"2008","non","null"
"173",174,"m","c","m","p","ek",41,"p",4,"mo","autre","autre",8,"2000","oui","25"
"174",175,"m","c","m","b","ek",37,"p",4,"a","autre","autre",5,"1979","oui","12"
"175",176,"f","c","m","b","ek",32,"p",5,"a","v","buya",1,"null","non","null"
"176",177,"f","c","m","b","autre",38,"s",10,"v","v","autre",7,"2001","non","null"
"177",178,"m","c","m","b","ek",53,"s",12,"a","a","autre",12,"2006","non","null"
